status » timestamp,status » error_code,status » error_message,status » elapsed,status » credit_count,status » notice,status » total_count,data » id,data » name,data » symbol,data » slug,data » num_market_pairs,data » date_added,data » tags » 1,data » tags » 2,data » tags » 3,data » tags » 4,data » tags » 5,data » tags » 6,data » tags » 7,data » tags » 8,data » tags » 9,data » tags » 10,data » tags » 11,data » tags » 12,data » tags » 13,data » tags » 14,data » tags » 15,data » tags » 16,data » tags » 17,data » tags » 18,data » tags » 19,data » tags » 20,data » tags » 21,data » tags » 22,data » tags » 23,data » tags » 24,data » tags » 25,data » tags » 26,data » tags » 27,data » tags » 28,data » tags » 29,data » max_supply,data » circulating_supply,data » total_supply,data » platform,data » platform » id,data » platform » name,data » platform » symbol,data » platform » slug,data » platform » token_address,data » cmc_rank,data » last_updated,data » quote » USD » price,data » quote » USD » volume_24h,data » quote » USD » percent_change_1h,data » quote » USD » percent_change_24h,data » quote » USD » percent_change_7d,data » quote » USD » percent_change_30d,data » quote » USD » percent_change_60d,data » quote » USD » percent_change_90d,data » quote » USD » market_cap,data » quote » USD » last_updated
2021-05-22T04:21:15.341Z,0,,26,1,,5255,1,Bitcoin,BTC,bitcoin,9586,2013-04-28T00:00:00.000Z,mineable,pow,sha-256,store-of-value,state-channels,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,arrington-xrp-capital,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures,galaxy-digital-portfolio,huobi-capital,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-xzy-screener,21000000,18713700,18713700,,,,,,,1,2021-05-22T04:20:02.000Z,36994.86972,81125610905,-0.17301314,-8.76203939,-25.61093829,-31.4991251,-32.51450031,-34.52589871,692310893539,2021-05-22T04:20:02.000Z
,,,,,,,1027,Ethereum,ETH,ethereum,5942,2015-08-07T00:00:00.000Z,mineable,pow,smart-contracts,ethereum,coinbase-ventures-portfolio,three-arrows-capital-portfolio,polychain-capital-portfolio,binance-labs-portfolio,arrington-xrp-capital,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,dcg-portfolio,dragonfly-capital-portfolio,electric-capital-portfolio,fabric-ventures-portfolio,framework-ventures,hashkey-capital-portfolio,kinetic-capital,huobi-capital,alameda-research-portfolio,a16z-portfolio,1confirmation-portfolio,winklevoss-capital,usv-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,multicoin-capital-portfolio,paradigm-xzy-screener,,115973347.9,115973347.9,,,,,,,2,2021-05-22T04:20:02.000Z,2326.475105,52463995736,-0.90802779,-16.51241425,-42.44081348,-3.58329706,36.12809342,20.11853728,269809106870,2021-05-22T04:20:02.000Z
,,,,,,,825,Tether,USDT,tether,13030,2015-02-25T00:00:00.000Z,store-of-value,payments,stablecoin,stablecoin-asset-backed,solana-ecosystem,,,,,,,,,,,,,,,,,,,,,,,,,,58511888749,60476291004,,1027,Ethereum,ETH,ethereum,0xdac17f958d2ee523a2206206994597c13d831ec7,3,2021-05-22T04:20:07.000Z,1.001058111,173389211010,-0.00767204,-0.08657272,0.11283956,0.11973511,-0.05665123,0.09087351,58573800822,2021-05-22T04:20:07.000Z
,,,,,,,1839,Binance Coin,BNB,binance-coin,599,2017-07-25T00:00:00.000Z,marketplace,centralized-exchange,payments,binance-smart-chain,alameda-research-portfolio,multicoin-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,170532785,153432897,169432897,,,,,,,5,2021-05-22T04:20:07.000Z,312.6411023,6147139119,-1.30710136,-20.36113216,-47.93941788,-43.15166249,20.19012171,19.34939481,47969430040,2021-05-22T04:20:07.000Z
,,,,,,,2010,Cardano,ADA,cardano,264,2017-10-01T00:00:00.000Z,mineable,dpos,pos,platform,research,smart-contracts,staking,binance-chain,,,,,,,,,,,,,,,,,,,,,,45000000000,31948309441,45000000000,,,,,,,4,2021-05-22T04:20:08.000Z,1.499523085,8945971620,0.00982512,-13.93968946,-29.35656543,24.19670766,32.38726771,35.66766488,47907227548,2021-05-22T04:20:08.000Z
,,,,,,,74,Dogecoin,DOGE,dogecoin,362,2013-12-15T00:00:00.000Z,mineable,pow,scrypt,medium-of-exchange,memes,payments,,,,,,,,,,,,,,,,,,,,,,,,,129694208735,129694208735,,,,,,,6,2021-05-22T04:20:02.000Z,0.3379884594,7337345125,0.31890428,-14.16199281,-36.21378738,19.12352491,508.1829872,505.6928739,43835145801,2021-05-22T04:20:02.000Z
,,,,,,,52,XRP,XRP,xrp,674,2013-08-04T00:00:00.000Z,medium-of-exchange,enterprise-solutions,binance-chain,arrington-xrp-capital,galaxy-digital-portfolio,a16z-portfolio,pantera-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,100000000000,46135372183,99990461026,,,,,,,7,2021-05-22T04:20:03.000Z,0.9329761357,10700799855,-1.63804691,-19.0836209,-34.07251707,-28.66712837,60.91779534,77.89019225,43043201257,2021-05-22T04:20:03.000Z
,,,,,,,6636,Polkadot,DOT,polkadot-new,195,2020-08-19T00:00:00.000Z,substrate,polkadot,binance-chain,polkadot-ecosystem,three-arrows-capital-portfolio,polychain-capital-portfolio,blockchain-capital-portfolio,boostvc-portfolio,cms-holdings-portfolio,coinfund-portfolio,fabric-ventures-portfolio,fenbushi-capital-portfolio,hashkey-capital-portfolio,kinetic-capital,1confirmation-portfolio,placeholder-ventures-portfolio,pantera-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,939685484.8,1075209600,,,,,,,8,2021-05-22T04:20:07.000Z,22.60515976,6438985213,0.99082623,-22.54125176,-53.34047032,-32.30751949,-37.53055975,-40.97258672,21241740504,2021-05-22T04:20:07.000Z
,,,,,,,8916,Internet Computer,ICP,internet-computer,30,2021-03-23T00:00:00.000Z,platform,distributed-computing,polychain-capital-portfolio,exnetwork-capital-portfolio,,,,,,,,,,,,,,,,,,,,,,,,,,,123949677.8,469213678.3,,,,,,,9,2021-05-22T04:20:09.000Z,137.5334795,744191378.5,2.16952126,-15.68548101,-53.48682111,0,0,0,17047230476,2021-05-22T04:20:09.000Z
,,,,,,,3408,USD Coin,USDC,usd-coin,1021,2018-10-08T00:00:00.000Z,medium-of-exchange,stablecoin,stablecoin-asset-backed,,,,,,,,,,,,,,,,,,,,,,,,,,,,14380157844,14380157844,,1027,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,10,2021-05-22T04:20:05.000Z,1.000369493,4710087937,0.00579353,0.03046321,0.02102272,0.03479819,-0.09499387,0.03799752,14385471205,2021-05-22T04:20:05.000Z
